operation;value;success;time_ns;operations
delete;77627;true;62600;2945
delete;71376;true;18900;1585
delete;64114;true;3200;199
delete;92729;true;35900;2491
delete;63415;true;1500;69
delete;5811;true;17800;1215
delete;23194;true;1800;21
delete;26339;true;2400;79
delete;32930;true;1600;25
delete;92707;true;68500;2483
delete;83567;true;15400;595
delete;86416;true;121800;1197
delete;39839;true;181000;53
delete;63782;true;5900;141
delete;6800;true;24800;1415
delete;93946;true;364000;2765
delete;10861;true;243200;2237
delete;92630;true;38100;2469
delete;31293;true;2700;59
delete;81933;true;3300;249
delete;72624;true;29300;1877
delete;98754;true;48700;3755
delete;21374;true;1499000;4321
delete;5040;true;29200;1051
delete;86807;true;23700;1295
delete;43650;true;5800;211
delete;14207;true;42100;2891
delete;52265;true;5400;235
delete;95850;true;40000;3187
delete;71699;true;26500;1675
delete;29937;true;2100;33
delete;43437;true;3200;173
delete;331;true;1700;81
delete;32985;true;1400;25
delete;97005;true;42200;3399
delete;88350;true;15000;1611
delete;44976;true;7600;453
delete;18504;true;71900;3737
delete;42406;true;8600;417
delete;94175;true;30200;2803
delete;77993;true;41300;3019
delete;35677;true;2300;58
delete;77534;true;27200;2921
delete;20339;true;49700;4117
delete;17623;true;33900;3557
delete;12108;true;22100;2509
delete;59858;true;7000;369
delete;20642;true;41800;4183
delete;99351;true;50900;3867
delete;75865;true;30900;2589
delete;97659;true;83600;3543
delete;15237;true;413300;3083
delete;75295;true;84900;2461
delete;40605;true;2700;51
delete;84958;true;13100;903
delete;34371;true;1600;25
delete;76445;true;35400;2713
delete;71893;true;19800;1705
delete;71987;true;19200;1719
delete;83115;true;6100;499
delete;37608;true;1900;47
delete;69474;true;14200;1253
delete;53025;true;6700;377
delete;65566;true;5600;455
delete;61385;true;11400;691
delete;29867;true;1200;19
delete;80247;true;42100;3413
delete;1777;true;6200;381
delete;72150;true;19500;1755
delete;4375;true;10800;897
delete;17881;true;58200;3617
delete;22635;true;3300;153
delete;50092;true;10500;599
delete;40027;true;2000;97
delete;91316;true;26100;2191
delete;89187;true;18900;1773
delete;97244;true;37800;3449
delete;21448;true;48100;4341
delete;46979;true;12100;839
delete;87250;true;14800;1377
delete;71804;true;19700;1689
delete;17832;true;31400;3605
delete;51683;true;2600;121
delete;6338;true;15300;1325
delete;56584;true;17300;1067
delete;73179;true;22900;1953
delete;61214;true;9600;655
delete;80755;true;42100;3519
delete;59917;true;5000;381
delete;7118;true;17400;1471
delete;96291;true;41100;3271
delete;82713;true;12900;413
delete;43132;true;3300;119
delete;37049;true;1200;22
delete;81218;true;2200;113
delete;27024;true;3500;105
delete;104;true;5300;27
delete;30892;true;2600;63
delete;6157;true;25600;1281
delete;35818;true;2400;81
delete;43196;true;2000;133
delete;10351;true;48900;2129
delete;35449;true;1700;55
delete;68230;true;14300;1007
delete;35215;true;1700;53
delete;80029;true;41900;3369
delete;70611;true;16000;1457
delete;41740;true;4200;269
delete;30874;true;2000;55
delete;86164;true;14500;1145
delete;28179;true;4300;189
delete;35962;true;1400;33
delete;40641;true;1300;59
delete;39821;true;1200;49
delete;37480;true;1100;38
delete;73920;true;42100;2105
delete;47052;true;30800;855
delete;94565;true;33900;2897
delete;38057;true;1900;67
delete;15661;true;38600;3147
delete;24513;true;2800;46
delete;31505;true;45500;103
delete;65304;true;21300;401
delete;16732;true;49000;3373
delete;28320;true;4900;229
delete;67805;true;11200;933
delete;62502;true;28800;907
delete;59835;true;4700;363
delete;54804;true;10400;743
delete;19652;true;77000;3945
delete;20608;true;40300;4177
delete;5098;true;10800;1065
delete;57439;true;16100;1277
delete;27285;true;1300;29
delete;80531;true;40400;3467
delete;90481;true;28400;2037
delete;89661;true;16500;1871
delete;93700;true;27300;2715
delete;59884;true;4800;375
delete;32034;true;1600;37
delete;22825;true;3100;189
delete;92798;true;22100;2511
delete;57315;true;14700;1237
delete;88166;true;14700;1575
delete;29116;true;2300;91
delete;3551;true;8100;715
delete;81199;true;1700;109
delete;82202;true;3300;311
delete;84488;true;7000;797
delete;18353;true;38500;3709
delete;90315;true;18500;1991
delete;78167;true;40400;3045
delete;39927;true;1500;77
delete;7870;true;16500;1635
delete;77006;true;24800;2807
delete;35771;true;2100;73
delete;62977;true;11200;1007
delete;23992;true;14400;35
delete;65908;true;5000;519
delete;73683;true;17600;2061
delete;87412;true;27700;1417
delete;63261;true;900;33
delete;81215;true;1600;111
delete;57013;true;13700;1149
delete;30395;true;1200;27
delete;68906;true;11000;1139
delete;84553;true;7700;813
delete;23755;true;1100;33
delete;61830;true;7900;771
delete;30896;true;1600;65
delete;16191;true;37600;3251
delete;34485;true;1600;35
delete;78570;true;31500;3103
delete;15851;true;31100;3175
delete;794;true;2400;183
delete;52074;true;3000;195
delete;10443;true;20100;2147
delete;74778;true;22600;2339
delete;26606;true;2200;91
delete;61669;true;8100;735
delete;19676;true;39500;3949
delete;77287;true;27900;2861
delete;3077;true;5900;611
delete;87409;true;15700;1415
delete;99957;true;43100;3989
delete;99291;true;38600;3851
delete;95770;true;32000;3169
delete;21421;true;49100;4335
delete;83651;true;6400;617
delete;9752;true;21700;2023
delete;60338;true;6400;477
delete;53759;true;6600;531
delete;56970;true;24500;1139
delete;75050;true;29900;2413
delete;63193;true;12100;1047
delete;36426;true;2400;109
delete;75655;true;27300;2533
delete;51524;true;1300;81
delete;76775;true;28300;2773
delete;22828;true;3200;191
delete;44808;true;5500;417
delete;69976;true;14000;1361
delete;943;true;3200;233
delete;14861;true;32800;2999
delete;22746;true;2400;179
delete;74548;true;43400;2267
delete;22159;true;1400;55
delete;42625;true;900;25
delete;35928;true;900;21
delete;45576;true;10200;577
delete;77503;true;29500;2909
delete;21513;true;50200;4353
delete;78698;true;31300;3137
delete;10493;true;23400;2157
delete;99160;true;45100;3827
delete;16837;true;34000;3389
delete;83185;true;5500;519
delete;45528;true;6800;569
delete;71231;true;19100;1561
delete;1407;true;3700;325
delete;52669;true;4300;317
delete;31854;true;3200;179
delete;97899;true;41000;3575
delete;29361;true;1300;27
delete;42377;true;6000;407
delete;37428;true;1100;43
delete;15562;true;32400;3131
delete;59218;true;3500;245
delete;72943;true;21600;1921
delete;94130;true;28500;2791
delete;3700;true;8200;757
delete;27027;true;2100;107
delete;28322;true;3800;231
delete;99683;true;77200;3913
delete;75628;true;68000;2531
delete;75152;true;25300;2433
delete;24102;true;1600;39
delete;26401;true;2000;87
delete;28922;true;1500;57
delete;75585;true;27500;2521
delete;92089;true;29500;2357
delete;28769;true;800;27
delete;79784;true;34200;3313
delete;9808;true;27100;2033
delete;1395;true;4100;323
delete;21929;true;47200;4447
delete;55731;true;10800;913
delete;79630;true;44300;3289
delete;21939;true;44200;4449
delete;61176;true;7400;645
delete;8102;true;17500;1701
delete;97740;true;45500;3549
delete;78511;true;61300;3097
delete;41578;true;4000;219
delete;29446;true;1500;27
delete;23819;true;2000;29
delete;75741;true;24400;2561
delete;52343;true;3300;255
delete;95015;true;33300;2995
delete;92536;true;22900;2455
delete;20042;true;54400;4045
delete;85524;true;11100;1023
delete;55179;true;10000;825
delete;93100;true;68000;2573
delete;11651;true;78700;2393
delete;42977;true;2100;83
delete;31645;true;2600;145
delete;13106;true;50400;2713
delete;19451;true;80700;3923
delete;2376;true;11600;485
delete;25710;true;3300;131
delete;83274;true;7500;537
delete;52512;true;3900;275
delete;88479;true;35500;1639
delete;47642;true;2400;113
delete;93520;true;28300;2655
delete;77638;true;35400;2951
delete;92398;true;25300;2433
delete;6148;true;14400;1279
