operation;value;success;time_ns;operations
insert;26425;true;32300;1
insert;72911;true;15200;4
insert;50531;true;3400;8
insert;98735;true;2100;10
insert;39258;true;1500;10
insert;78794;true;51800;21
insert;8210;true;3400;11
insert;33050;true;3100;16
insert;58383;true;2400;12
insert;40462;true;3200;18
insert;21969;true;50300;28
insert;72858;true;3500;15
insert;49859;true;3600;24
insert;7431;true;17900;16
insert;30236;true;2500;25
insert;33830;true;2700;30
insert;74928;true;25300;39
insert;33477;true;2500;16
insert;74015;true;2600;24
insert;17113;true;17000;29
insert;84789;true;4200;34
insert;73649;true;2600;29
insert;83838;true;4400;38
insert;51596;true;2900;25
insert;45255;true;2800;22
insert;2315;true;1900;13
insert;57767;true;2100;28
insert;80760;true;4000;45
insert;69949;true;2700;34
insert;74547;true;3500;45
insert;8427;true;13600;30
insert;56869;true;3000;32
insert;10941;true;13700;34
insert;78373;true;4600;53
insert;23156;true;2300;16
insert;63779;true;2300;40
insert;75745;true;3500;57
insert;79102;true;16100;64
insert;18353;true;8200;24
insert;53588;true;3900;37
insert;47127;true;37200;25
insert;12508;true;18000;26
insert;26355;true;64000;32
insert;76636;true;7100;67
insert;95080;true;8300;82
insert;36199;true;3900;22
insert;95470;true;6500;85
insert;57884;true;3000;50
insert;83100;true;5900;83
insert;51208;true;2200;44
insert;90140;true;7600;93
insert;90021;true;6700;94
insert;85192;true;6700;95
insert;69205;true;3900;64
insert;5354;true;2000;19
insert;41308;true;2600;21
insert;11000;true;2700;30
insert;30118;true;2900;22
insert;12053;true;3400;33
insert;35203;true;2400;23
insert;58702;true;3700;63
insert;51682;true;30500;54
insert;7629;true;2300;26
insert;83128;true;7300;101
insert;9705;true;2200;33
insert;11008;true;2800;40
insert;3686;true;4000;25
insert;53544;true;2600;58
insert;68654;true;4700;75
insert;11055;true;4500;46
insert;65624;true;5000;76
insert;1181;true;1500;25
insert;81434;true;7900;109
insert;43699;true;2600;24
insert;63540;true;4200;76
insert;82413;true;9000;115
insert;91871;true;9900;132
insert;21908;true;21200;57
insert;31888;true;43600;39
insert;90065;true;26000;138
insert;6040;true;3200;40
insert;82229;true;8100;117
insert;56681;true;3200;70
insert;5010;true;2500;39
insert;3792;true;2500;40
insert;39369;true;3400;20
insert;82929;true;8600;125
insert;72368;true;5400;96
insert;481;true;1900;35
insert;28136;true;3100;23
insert;98870;true;11200;152
insert;8078;true;4900;56
insert;54859;true;3400;74
insert;49235;true;16200;42
insert;62508;true;4700;89
insert;65760;true;6600;98
insert;18457;true;6600;81
insert;69840;true;6300;105
insert;28712;true;3600;26
insert;60644;true;4900;92
insert;34378;true;19700;30
insert;76652;true;12300;134
insert;45670;true;18100;23
insert;45829;true;3500;26
insert;72362;true;7500;117
insert;15958;true;6500;78
insert;55110;true;3800;86
insert;88171;true;11500;169
insert;86963;true;11700;170
insert;29746;true;17800;43
insert;34144;true;2800;18
insert;88640;true;14600;175
insert;60146;true;5000;104
insert;31111;true;4400;23
insert;83727;true;12800;169
insert;13320;true;6700;79
insert;21668;true;7300;90
insert;20383;true;7900;91
insert;60924;true;5400;110
insert;74445;true;9100;143
insert;58925;true;5400;108
insert;3398;true;2600;48
insert;26210;true;2400;25
insert;53832;true;3500;93
insert;41567;true;3200;24
insert;92812;true;14700;204
insert;87146;true;13600;193
insert;57143;true;5400;106
insert;28975;true;9500;36
insert;90962;true;14800;209
insert;32985;true;63200;45
insert;39908;true;3600;21
insert;38350;true;20000;39
insert;24281;true;3200;23
insert;19811;true;7600;95
insert;38219;true;2600;21
insert;68594;true;7600;139
insert;32570;true;31000;42
insert;63206;true;149100;132
insert;92946;true;16400;225
insert;92003;true;14700;224
insert;53739;true;3400;105
insert;22273;true;31800;35
insert;92739;true;16200;230
insert;62443;true;9100;137
insert;633;true;2200;46
insert;77664;true;10400;186
insert;6440;true;3600;65
insert;17448;true;6600;98
insert;8597;true;5700;79
insert;72298;true;7900;163
insert;61230;true;6100;140
insert;7603;true;3900;72
insert;77751;true;10400;195
insert;75263;true;10000;188
insert;12792;true;57500;99
insert;45328;true;22900;39
insert;35906;true;48900;20
insert;9147;true;6300;86
insert;79893;true;15000;207
insert;62203;true;6500;146
insert;36688;true;17300;33
insert;20165;true;8600;119
insert;65024;true;7400;159
insert;9596;true;5800;90
insert;84416;true;14500;234
insert;7097;true;3900;75
insert;2597;true;2700;62
insert;4801;true;3500;71
insert;17237;true;8100;124
insert;58032;true;5100;135
insert;3566;true;2800;69
insert;20381;true;8400;140
insert;11792;true;6900;117
insert;37480;true;3500;29
insert;24037;true;2900;25
insert;92378;true;16400;264
insert;96805;true;17500;277
insert;36528;true;3300;31
insert;679;true;2200;64
insert;26343;true;15100;43
insert;37397;true;3400;36
insert;87618;true;15000;250
