operation;value;success;time_ns;operations
search;52731;true;84900;325
search;75699;true;1079000;2543
search;33296;true;8300;57
search;82682;true;126000;401
search;35799;true;11200;79
search;54766;true;69100;733
search;75838;true;145900;2581
search;53330;true;24600;435
search;89771;true;61600;1891
search;34832;true;3100;37
search;44130;true;21800;285
search;87303;true;22800;1391
search;57304;true;56300;1231
search;56077;true;51700;963
search;76357;true;98000;2697
search;77718;true;69200;2971
search;51987;true;2500;181
search;2299;true;13000;467
search;63987;true;2300;175
search;40296;true;4800;147
search;2047;true;4600;433
search;63206;true;500;16
search;91120;true;34300;2153
search;58976;true;5800;207
search;32168;true;2400;67
search;908;true;2600;223
search;80125;true;40000;3391
search;83017;true;5400;475
search;3369;true;10100;675
search;78838;true;32200;3161
search;30953;true;2400;77
search;95666;true;782700;3145
search;92005;true;498900;2333
search;90629;true;27900;2059
search;6826;true;34200;1425
search;87582;true;14200;1445
search;30023;true;2200;47
search;84529;true;8000;803
search;70656;true;27500;1465
search;49064;true;9100;399
search;73593;true;25200;2039
search;73942;true;21700;2111
search;61698;true;15000;745
search;81507;true;6400;183
search;57431;true;22800;1275
search;84212;true;8300;747
search;94763;true;83800;2945
search;62099;true;22100;823
search;64854;true;7100;317
search;60195;true;5100;435
search;29275;true;1800;23
search;20073;true;480900;4057
search;60740;true;9700;565
search;74169;true;33100;2159
search;99466;true;66800;3885
search;17930;true;54200;3637
search;42503;true;9300;441
search;1940;true;4200;417
search;78690;true;39000;3133
search;19993;true;93600;4029
search;1339;true;3400;311
search;20781;true;133300;4217
search;49746;true;11100;543
search;98698;true;49100;3739
search;82444;true;4100;353
search;75072;true;30900;2421
search;81675;true;2300;217
search;48228;true;2300;219
search;35593;true;1900;59
search;62929;true;13500;997
search;75909;true;27000;2597
search;31546;true;3200;117
search;7477;true;19000;1555
search;21277;true;247100;4305
search;69590;true;17000;1273
search;11532;true;42800;2369
search;48718;true;4800;313
search;87584;true;17600;1447
search;4374;true;9600;895
search;25178;true;2900;83
search;21130;true;48200;4287
search;83668;true;5900;619
search;85674;true;11500;1053
search;62485;true;11200;903
search;18736;true;41900;3781
search;36445;true;3500;113
search;45306;true;8900;519
search;57407;true;18800;1269
search;16567;true;27400;3335
search;81506;true;2400;181
search;58463;true;1500;107
search;90357;true;19900;2005
search;85683;true;11300;1055
search;11786;true;19000;2423
search;22082;true;1000;33
search;90811;true;21900;2095
search;96874;true;37500;3385
search;68376;true;12400;1057
search;67153;true;8600;783
search;24357;true;1500;47
